Sl No.      Area     Year   Age  Ratio
1       Afghanistan  1970   All   1.08
2       Afghanistan  1975   All   1.08
3       Afghanistan  1980   All   1.08
4       Afghanistan  1985   All   1.08
5       Afghanistan  1990   All   1.08
6       Afghanistan  1995   All   1.08
7       Afghanistan  2000   All   1.07
8       Afghanistan  2005   All   1.07
9       Afghanistan  2010   All   1.07
10      Afghanistan  2015   All   1.07
11      Afghanistan  2020   All   1.07
12      Afghanistan  2025   All   1.07
13      Afghanistan  2030   All   1.07
14      Afghanistan  2035   All   1.07
15      Afghanistan  2040   All   1.07
16      Afghanistan  2045   All   1.07
17      Afghanistan  2050   All   1.07
18      Afghanistan  2055   All   1.07
19      Afghanistan  2060   All   1.07
20      Afghanistan  2065   All   1.06
21      Afghanistan  2070   All   1.06
22      Afghanistan  2075   All   1.06
23      Afghanistan  2080   All   1.05
24      Afghanistan  2085   All   1.05
25      Afghanistan  2090   All   1.04
26      Afghanistan  2095   All   1.04
27      Afghanistan  2100   All   1.03
28          Albania  1970   All   1.02
29          Albania  1975   All   1.02
...             ...   ...   ...    ...
116395       Zambia  2090  100+    0.5
116396       Zambia  2095  100+    0.5
116397       Zambia  2100  100+    0.5
116398        World  1970  100+    0.5
116399        World  1975  100+    0.5
116400        World  1980  100+    0.5
116401        World  1985  100+    0.5
116402        World  1990  100+    0.5
116403        World  1995  100+    0.5
116404        World  2000  100+    0.5
116405        World  2005  100+    0.5
116406        World  2010  100+    0.5
116407        World  2015  100+    0.5
116408        World  2020  100+    0.5
116409        World  2025  100+    0.5
116410        World  2030  100+    0.5
116411        World  2035  100+    0.5
116412        World  2040  100+    0.5
116413        World  2045  100+    0.5
116414        World  2050  100+    0.5
116415        World  2055  100+    0.5
116416        World  2060  100+    0.5
116417        World  2065  100+    0.5
116418        World  2070  100+    0.5
116419        World  2075  100+    0.5
116420        World  2080  100+    0.5
116421        World  2085  100+    0.5
116422        World  2090  100+    0.5
116423        World  2095  100+    0.5
116424        World  2100  100+    0.5
